,agr,gdp,gpc,gpc_growth,gdp_growth,gdpp,gpcp,ind,ser,ser_growth,ind_growth,agr_growth,EPI_P,EPI
11,10.28299697,3.55E+12,2695.365917,13.63634486,14.23138804,9.05E+12,6863.981755,46.8610339,42.85596913,16.06974813,15.05080752,3.514837223,64.24,64.24
12,10.25089863,4.60E+12,3471.248054,9.093872102,9.654289373,1.01E+13,7635.072611,46.93247802,42.81662335,10.47787104,9.839143235,5.176732535,64.24,64.2
13,9.786188981,5.11E+12,3838.433972,8.857029819,9.399813171,1.11E+13,8374.432271,45.88377306,44.33003796,9.587740125,10.29017597,3.995766076,64.2,64.15
14,9.530192941,6.10E+12,4560.512586,10.10310072,10.63614046,1.25E+13,9333.124237,46.39605425,44.07375281,9.66674545,12.68315018,4.249363868,64.15,65.28
15,9.434516062,7.57E+12,5633.795717,9.012854035,9.536443008,1.40E+13,10384.3666,46.4006848,44.16479914,9.489942529,10.6898384,4.173785697,65.28,65.25
16,9.419936158,8.56E+12,6337.883323,7.332030984,7.85626211,1.53E+13,11351.06206,45.273502,45.30656184,8.011285349,8.364160054,4.475164011,65.25,65.44
17,9.295189652,9.61E+12,7077.770765,7.226936454,7.757635146,1.68E+13,12367.96501,44.0081519,46.69665844,8.300935488,7.986970684,3.812514017,65.44,65.21
18,9.059922416,1.05E+13,7683.502613,6.755778416,7.297665959,1.83E+13,13439.90671,43.10295577,47.83712181,7.807723589,7.393822394,4.061352344,65.21,66.17
19,8.832724007,1.11E+13,8069.213024,6.358383356,6.900204817,1.99E+13,14478.14755,40.93163605,50.23563994,8.194375797,6.197195758,3.902844094,66.17,66.26
20,8.556426912,1.12E+13,8123.180873,6.113211231,6.689349894,2.15E+13,15559.23135,39.80986046,51.63371262,7.755688435,6.112733274,3.296703297,66.26,65.1
