gdp,gdp_growth,gpc,gpc_growth,pop,EPI,EPI_P
8802441342,5.727016142,7100.861823,5.246496948,1239630,73.85,73.85
9276625562,5.38696257,7456.369246,5.006539083,1244121,74.32,73.85
9584152842,3.315076989,7683.124925,3.041100454,1247429,73.92,74.32
10003670690,4.377203239,8000.376432,4.129198864,1250400,72.68,73.92
10411574172,4.077538074,8313.271254,3.911001248,1252404,72.12,72.68
10775575125,3.496118338,8580.085649,3.209499452,1255882,71.71,72.12
11137678209,3.360406103,8848.887032,3.132851975,1258653,71.17,71.71
11554736860,3.744574431,9163.633354,3.556902932,1260934,71.23,71.17
11955531873,3.468664134,9468.940701,3.331728087,1262605,72.17,71.23
12409842083,3.79999999,9822.008134,3.728689879,1263473,70.85,72.17
