year,gpc_growth,gpc,gpc_growth_MA,gpc_MA,gpc_growth_cross,gpc_growth_cross_MA,EPI_MA,EPI_P,EPI
2017,4.324713514,10047.4534,4.027,9839.197,264.18,260.08,72.71,70.85,
2018,4.251608706,10474.6318,4.139304353,10156.9144,,,,,
2019,4.00301243,10893.93262,4.071158392,10525.42351,,,,,
2020,3.94578666,11323.78396,4.008472526,10924.60373,,,,,
2021,3.769589507,11750.64413,3.889031016,11337.62393,,,,,
2022,3.681553749,12183.25041,3.785292383,11760.43717,,,,,
2023,3.814824445,12648.02002,3.800058414,12204.2286,,,,,
2024,3.965960727,13149.63553,3.88300957,12676.93206,,,,,
2025,4.007972939,13676.66936,3.945491255,13176.80071,,,,,
2026,4.031641942,14228.0637,3.988566598,13702.43221,,,,,
2027,3.987371188,14795.38941,3.987968893,14248.91081,,,,,
2028,3.895488398,15371.74209,3.941728646,14810.32645,,,,,
2029,3.840461278,15962.08789,3.891094962,15386.20717,,,,,
2030,3.852358419,16577.00473,3.87172669,15981.60595,,,,,
2031,3.883392169,17220.75484,3.87755943,16601.18039,,,,,
2032,3.928851227,17897.33267,3.903205328,17249.25653,,,,,
2033,3.961958535,18606.41757,3.932581932,17927.83705,,,,,
2034,3.961382698,19343.48898,3.946982315,18635.66302,,,,,
2035,3.933139638,20104.29541,3.940060976,19369.97921,,,,,
2036,3.906691749,20889.70826,3.923376363,20129.84374,,,,,
2037,3.889938076,21702.30498,3.906657219,20916.07436,,,,,
2038,3.891038291,22546.74997,3.898847755,21731.41217,,,,,
2039,3.906562441,23427.55284,3.902705098,22579.4825,,,,,
2040,3.925341226,24347.16423,3.914023162,23463.32337,,,,,
2041,3.933940248,25304.96712,3.923981705,24384.14524,,,,,
2042,3.932137708,26299.99328,3.928059707,25342.06926,,,,,
2043,3.922359541,27331.57357,3.925209624,26336.82142,,,,,
2044,3.911703497,28400.70369,3.91845656,27368.76255,,,,,
2045,3.905968433,29510.02621,3.912212497,28439.39438,,,,,
2046,3.9080043,30663.27931,3.910108398,29551.33684,,,,,
2047,3.914171355,31863.4926,3.912139877,30707.41472,,,,,
2048,3.920614967,33112.73746,3.916377422,31910.07609,,,,,
2049,3.923611127,34411.95251,3.919994274,33161.0143,,,,,
2050,3.922403745,35761.72823,3.92119901,34461.37126,,,,,
2051,3.918304358,37162.98158,3.919751684,35812.17642,,,,,
2052,3.914496391,38617.72515,3.917124037,37214.95079,,,,,
2053,3.912808758,40128.76289,3.914966398,38671.85684,,,,,
2054,3.913795702,41699.32068,3.91438105,40185.58876,,,,,
2055,3.916258114,43332.37371,3.915319582,41758.98124,,,,,
2056,3.918623775,45030.40641,3.916971678,43394.69382,,,,,
2057,3.919502981,46795.37453,3.91823733,45095.03418,,,,,
2058,3.918823279,48629.20256,3.918530304,46862.11837,,,,,
2059,3.917249234,50534.12963,3.917889769,48698.124,,,,,
2060,3.915877062,52512.98402,3.916883416,50605.55401,,,,,
2061,3.915374541,54569.06403,3.916128978,52587.30902,,,,,
2062,3.915870544,56705.91793,3.915999761,54646.61347,,,,,
2063,3.916838773,58926.99731,3.916419267,56786.80539,,,,,
2064,3.91766843,61235.56168,3.917043849,59011.18354,,,,,
2065,3.917916845,63634.72007,3.917480347,61322.9518,,,,,
2066,3.917592185,66127.66889,3.917536266,63725.31035,,,,,
2067,3.916980773,68717.87696,3.917258519,66221.59365,,,,,
2068,3.916495699,71409.20966,3.916877109,68815.40166,,,,,
2069,3.916364606,74205.85467,3.916620858,71510.62816,,,,,
2070,3.916590184,77112.19389,3.916605521,74311.41103,,,,,
2071,3.916963136,80132.6501,3.916784328,77222.03056,,,,,
2072,3.917253603,83271.64922,3.917018966,80246.83989,,,,,
2073,3.917314081,86533.66126,3.917166523,83390.25058,,,,,
2074,3.917166549,89923.3289,3.917166536,86656.78974,,,,,
2075,3.916933772,93445.56614,3.917050154,90051.17794,,,,,
2076,3.916765379,97105.60972,3.916907767,93578.39383,,,,,
2077,3.916736734,100908.9808,3.91682225,97243.68732,,,,,
2078,3.916835541,104861.4196,3.916828896,101052.5535,,,,,
2079,3.916977578,108968.8179,3.916903237,105010.6857,,,,,
2080,3.917077099,113237.2105,3.916990168,109123.9481,,,,,
2081,3.917087392,117672.811,3.91703878,113398.3796,,,,,
2082,3.917023593,122282.0828,3.917031186,117840.2312,,,,,
2083,3.916935847,127071.7935,3.916983517,122456.0124,,,,,
2084,3.916878453,132049.0412,3.916930985,127252.5268,,,,,
2085,3.91687553,137221.2378,3.916903257,132236.8823,,,,,
2086,3.916917369,142596.0803,3.916910313,137416.4813,,,,,
2087,3.916970675,148181.527,3.916940494,142799.0041,,,,,
2088,3.917004147,153985.8035,3.916972321,148392.4038,,,,,
2089,3.917003371,160017.4326,3.916987846,154204.9182,,,,,
2090,3.91697659,166285.278,3.916982218,160245.0981,,,,,
2091,3.916943928,172798.5791,3.916963073,166521.8386,,,,,
2092,3.916924826,179566.9696,3.916943949,173044.4041,,,,,
2093,3.916926601,186600.476,3.916935275,179822.44,,,,,
2094,3.916943874,193909.5119,3.916939575,186865.976,,,,,
2095,3.916963634,201504.8769,3.916951604,194185.4264,,,,,
2096,3.916974609,209397.7718,3.916963107,201791.5991,,,,,
