"","gdp","gpc","gpc_growth","gdp_cross","gpc_cross","gdp_growth_cross","gpc_growth_cross","EPI_P","EPI"
"1",9.62e+11,781.7441643,8.118548119,5864890237076,4765.94980986924,56.2759338290992,49.4952116448595,6.096559498,6.073146927
"2",1.03e+12,828.5804793,6.807806319,6255341334810,5032.09099163298,47.5989808871873,41.344808025846,6.073146927,6.063111859
"3",1.09e+12,873.2870617,6.739270027,6608791926310,5294.83714010454,46.4888263321086,40.860948021707,6.063111859,6.049666758
"4",1.21e+12,959.3724836,7.640001655,7320096777180,5803.88382257482,51.3707966493271,46.2194640433185,6.049666758,6.042955711
"5",1.34e+12,1053.108243,7.555801672,8097560652740,6363.88647133803,50.3977100873517,45.6593748649958,6.042955711,6.082632596
"6",1.47e+12,1148.50829,8.401915061,8941469916120,6985.95396153022,55.5383646475922,51.1057624188619,6.082632596,6.125394863
"7",1.66e+12,1288.643252,9.352364262,10168155472580,7893.44875604041,61.4720312470692,57.2869240073596,6.125394863,6.129292156
"8",1.96e+12,1508.668098,9.45917505,12013412625760,9247.06753907884,61.9746426409412,57.9780474361959,6.129292156,6.069581808
"9",2.29e+12,1753.417829,10.74255231,13899342340320,10642.5129567213,69.1675943334681,65.2028000722644,6.069581808,6.038891224
"10",2.75e+12,2099.229435,12.09183627,16606950866000,12677.018212184,76.8115502277301,73.0212839329479,6.038891224,6.02088764
"11",3.55e+12,2695.365917,13.63634486,21374151122000,16228.4953349426,85.6855883500798,82.1029002223515,6.02088764,6.020355008
"12",4.6e+12,3471.248054,9.093872102,27693633036800,20898.1456059092,58.1222493754217,54.7483384513872,6.020355008,5.987111789
"13",5.11e+12,3838.433972,8.857029819,30594141241790,22981.1332850593,56.2777322504916,53.0280276448594,5.987111789,5.811974079
"14",6.1e+12,4560.512586,10.10310072,35453041881900,26505.5809367853,61.8169726541231,58.7189595021662,5.811974079,5.581443197
"15",7.57e+12,5633.795717,9.012854035,42251525001290,31444.7107779374,53.2271149505798,50.3047328392047,5.581443197,5.392113241
"16",8.56e+12,6337.883323,7.332030984,46156489342960,34174.5845858614,42.3618549480976,39.5351413522487,5.392113241,5.559623132
"17",9.61e+12,7077.770765,7.226936454,53427978298520,39349.7380680873,43.1295278073178,40.1790430831525,5.559623132,5.441349965
"18",1.05e+13,7683.502613,6.755778416,57134174632500,41808.626674325,39.7091544105863,36.7605546474494,5.441349965,5.367446036
"19",1.11e+13,8069.213024,6.358383356,59578650999600,43311.0654593084,37.0364769925947,34.1282795395306,5.367446036,5.440319665
"20",1.12e+13,8123.180873,6.113211231,60931580248000,44192.7006457338,36.3922017743939,33.2578232763082,5.440319665,5.264028349
