years,BCI,CDI,CEH,CHI,DBI,DCI,DMI,DNI,DSI,DXI,FSS,GDP,HAD,MPA,MTR,NOI,NXI,PAR,PBD,PME,PMW,POP,SDI,SHI,SNM,SPI,TBG,TBN,TCL,TPI,USD,UWD,WWT
1997,-21.91534559,-20.88309591,924.0956903030274,-22.37789758,-0.11200381475000043,0.03054782375000098,0.028611237125000244,0.00214751650000089,-0.10139415699999965,-0.05348502225000029,4.589541046,3.71e+12,3058.6508317184343,2.022185959052976,0.000936384,-23.06555732,-19.45318744,0.07825190760309264,314.96857991971774,44.7092701482143,88.13937449380956,1230075000.0,-18.91359965,100.7803076923077,0.7582970179999999,10.09523058,12.38285488,9.774997911,0.0970764453970645,-0.021250944,145.40485746817103,156.39723771593344,16.128
1998,-21.95270822,-20.92582416,908.5851678787876,-22.46071297,-0.1047406620000011,0.02774365600000106,0.022034711999999956,-0.0028240029999988536,-0.09486505299999948,-0.05005411900000034,5.489451055,4e+12,2936.2537463109184,2.038632062314072,0.0,-23.14296298,-19.47901943,0.07875412545360805,309.3356244760216,44.603050434285734,87.54313733785716,1241935000.0,-18.98291706,100.62265934065937,0.7582970179999999,10.26690811,12.45634459,9.856348437,0.11376243676470921,-0.021250944,138.15752646438705,149.09216154305614,16.128
1999,-22.08490854,-21.02490114,893.0746454545442,-22.54098846,-0.09747750924999998,0.024939488250000252,0.015458186874999669,-0.007795522499998597,-0.0883359489999993,-0.04662321575000039,6.830683068,4.31e+12,2813.8566609033733,2.0550781655751607,0.0,-23.18177522,-19.58848184,0.07925634330412368,303.7026690323273,44.49683072035717,86.94690018190477,1252735000.0,-19.14092872,100.46501098901103,0.7582970179999999,10.5461364,12.7751446,9.969747789,0.13044842813236102,-0.021250944,130.91019546060488,141.78708537017883,16.128
2000,-22.2037094,-21.04604233,877.5641230303008,-22.63451942,-0.09021435650000065,0.022135320500000333,0.008881661749999381,-0.012767041999998341,-0.08180684499999913,-0.04319231250000044,7.41,4.67e+12,2823.742466,2.007927972,0.0,-23.29168495,-19.65067617,0.079486367,298.4484806,44.3906110064286,86.35066302595237,1262645000.0,-19.26504478,100.30736263736264,0.7582970179999999,11.16274963,12.88699408,10.11701084,0.14713441950000572,-0.021250944,136.8969902,146.982955,16.128
2001,-22.29814671,-21.07195894,862.0536006060574,-22.67587608,-0.08295120375000131,0.019331152750000413,0.0023051366249990934,-0.017738561499998085,-0.07527774099999895,-0.03976140925000049,8.469153085,5.06e+12,2569.062490088283,2.02067084,-0.000812961,-23.35175765,-19.7420567,0.08026077900515449,292.4367581449387,44.28439129250003,85.75442586999998,1271850000.0,-19.36068824,100.0,0.7582970179999999,11.5613168,13.3022751,10.53953732,0.141502722,-0.021250944,116.41553345303691,127.1769330244224,16.128
2002,-22.38972442,-21.08219065,846.5430781818177,-22.7300751,-0.0756880510000002,0.016526985000000494,-0.004271388500001194,-0.022710080999997828,-0.06874863699999878,-0.03633050599999965,10.62106211,5.52e+12,2446.665404680738,2.02067084,0.000116077,-23.4381316,-19.7828788,0.0807629968556699,286.8038027012444,44.17817157857144,85.15818871404758,1280400000.0,-19.44098747,99.92,0.7582970179999999,11.82200108,13.6551943,11.11574511,0.147299332,-0.021250944,109.16820244925475,119.87185685154509,16.128
2003,-22.43761563,-21.02800756,831.0325557575743,-22.78908286,-0.06842489825000087,0.013722817250000574,-0.010847913624999705,-0.027681600499999348,-0.062219532999998606,-0.0328996027499997,12.73872613,6.08e+12,2324.268319273193,2.182657249,0.0,-23.52104689,-19.76670969,0.08126521470618553,281.1708472575501,44.07195186464287,84.56195155809519,1288400000.0,-19.50041771,99.86,0.7582970179999999,12.12596839,14.04949679,11.44205212,0.151813868,-0.021250944,101.92087144547077,112.56678067866778,16.128
2004,-22.4231273,-20.97432771,815.5220333333309,-22.83470981,-0.06116174549999975,0.010918649500000654,-0.017424438749999993,-0.03265311999999909,-0.05569042900000021,-0.02946869949999975,14.27,6.69e+12,2201.871233865648,2.182657249,0.00011607,-23.57957495,-19.73569153,0.08176743255670094,275.5378918138558,43.9657321507143,83.9657144021428,1296075000.0,-19.48320507,99.74,0.7582970179999999,12.14273868,14.09372004,11.46750172,0.190902487,-0.021250944,94.67354044168678,105.26170450579048,16.128
2005,-22.49722907,-20.95898574,800.8365,-22.90040446,-0.05389859275000042,0.008114481750000735,-0.02400096387500028,-0.037624639499998835,-0.04916132500000003,-0.0260377962499998,14.47144714,7.46e+12,2025.099872,2.220090988,0.000348149,-23.66415277,-19.77589542,0.08226965040721634,269.6080388,43.859512436785735,83.3694772461904,1303720000.0,-19.54840278,99.63,0.7582970179999999,12.14303235,14.10202973,11.48073528,0.199862539,-0.021250944,76.92988976,88.63647877,16.128
2006,-22.60033684,-20.97581367,798.8893,-23.00144815,-0.04663544,0.005310314,-0.030577489,-0.042596159,-0.042632221,-0.022606893,15.26,8.41e+12,1851.680834,2.220090988,0.001624036,-23.76204145,-19.82172827,0.08277186825773175,264.2719809264672,43.75329272285717,82.773240090238,1311020000.0,-19.60408335,99.49,0.7582970179999999,12.20990772,14.10216619,11.48096785,0.242254714,-0.021250944,80.17887843412063,90.65155216003586,16.128
