,EPI1,EPI2,FSI1,FSI2,country1,country2,fragility1,fragility2,pro_score
0,54.66,76.46,64.6,67.4,Ghana2008,Jamaica2010,0.6869995477673057,0.21783252563171723,-5.5094802191818504e-05
1,83.52,83.06,81.0,80.0,Russia2016,Russia2015,0.5331594849627421,0.5122362186290739,-0.00021663895105795972
2,53.86,79.77,70.8,76.7,India2007,Belarus2013,0.7452773531590977,0.37574960086978804,-0.0011100738708514357
3,53.9,75.29,72.9,76.2,India2008,Fiji2016,0.7676785283432033,0.38527003872202326,0.0004869841935689345
4,39.41,70.28,72.0,78.3,Benin2007,Algeria2016,0.706102442259018,0.45430404649611683,-0.0014599748817685776
5,51.98,58.75,71.5,71.8,Cape Verde2016,Ghana2015,0.641917181168059,0.3052318936130414,-0.0009186128568332008
6,39.39,69.07,72.8,79.2,Benin2008,Thailand2009,0.7264390549298726,0.4483113956242034,0.00023100004591780632
7,50.65,61.44,73.7,77.4,Cape Verde2013,Bosnia and Herzegovina2015,0.6648333178363265,0.41351585706337635,0.0020540058217561885
8,80.27,79.55,80.8,78.7,Russia2009,Belarus2010,0.49935975769898605,0.4066804929621106,0.00045104377120142036
9,65.21,72.66,80.9,79.8,China2013,Venezuela2007,0.5023867975495955,0.44919658420021374,-0.001631308856066216
10,65.25,72.66,80.1,79.8,China2011,Venezuela2007,0.48883945553357433,0.44919658420021374,0.0009491195947695652
11,64.67,68.03,82.8,75.6,Iran2007,Namibia2009,0.5516524660085659,0.3484789082622349,0.0032277030068040835
12,53.74,71.37,77.5,77.1,India2013,Peru2009,0.8929573876736336,0.3786408424644667,0.00010185491206893271
13,76.23,71.37,81.6,77.1,Venezuela2016,Peru2009,0.4966724985489885,0.3786408424644667,0.0016469779993760203
14,74.26,75.69,80.5,76.9,Fiji2012,Dominican Republic2011,0.4520530090027946,0.3893903805613209,0.004255119380472072
15,73.85,65.61,80.8,76.8,Fiji2013,Indonesia2014,0.46109595385452673,0.4008176643128894,-0.0018877770690999829
16,63.67,68.47,83.5,77.3,Uzbekistan2016,Ecuador2014,0.5731757003918376,0.40132429934035657,-0.002525964250090773
