Series Name,"Agriculture, value added (% of GDP)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GDP growth (annual %),"GDP, PPP (current international $)","GDP per capita, PPP (current international $)","Industry, value added (% of GDP)","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","Services, etc., value added (% of GDP)","Services, etc., value added (annual % growth)","Industry, value added (annual % growth)","Agriculture, value added (annual % growth)",         ,,,,year,epi,人均增长
Series Code,NV.AGR.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.PP.CD,NV.IND.TOTL.ZS,ER.GDP.FWTL.M3.KD,NV.SRV.TETC.ZS,NV.SRV.TETC.KD.ZG,NV.IND.TOTL.KD.ZG,NV.AGR.TOTL.KD.ZG,,,,,1998,,
Country Name,China,China,China,China,China,China,China,China,China,China,China,China,China,,,,,1999,,
Country Code,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,EPI,CCE,,,2000,,
1997 [YR1997],17.89527674,9.61604E+11,781.7441643,8.118548119,9.230769231,2.80114E+12,2277.206851,47.10025893,3.380188838,35.00446434,10.43881983,10.47036939,3.429971417,6.096559498,-3.087120469,DELTA-EPI,DELTA-CCE,2001,,
1998 [YR1998],17.15903476,1.02904E+12,828.5804793,6.807806319,7.837613919,3.05346E+12,2458.630661,45.79880932,..,37.04215592,8.394358557,8.912677412,3.434662456,6.073146927,-3.095448785,0.023412571,0.008328316,2002,,
1999 [YR1999],16.06478847,1.094E+12,873.2870617,6.739270027,7.667486171,3.33789E+12,2664.485031,45.3610278,..,38.57418374,9.258100838,8.194367753,2.748091603,6.063111859,-3.109263249,0.010035068,0.013814464,2003,,
2000 [YR2000],14.67624166,1.21135E+12,959.3724836,7.640001655,8.491508492,3.70374E+12,2933.314817,45.53727864,..,39.7864797,9.76754838,9.482494641,2.303120357,6.049666758,-3.117059972,0.013445101,0.007796723,2004,,
2001 [YR2001],13.98346135,1.3394E+12,1053.108243,7.555801672,8.33991055,4.10407E+12,3226.848456,44.79457056,..,41.22196808,10.26496975,8.484057431,2.650689906,6.042955711,-3.122740402,0.006711047,0.00568043,2005,,
2002 [YR2002],13.30148771,1.47055E+12,1148.50829,8.401915061,9.130645945,4.54755E+12,3551.663652,44.45171678,..,42.2467955,10.48249763,9.900309385,2.688362221,6.082632596,-3.127682491,-0.039676885,0.004942089,2006,,
2003 [YR2003],12.34899897,1.66029E+12,1288.643252,9.352364262,10.03560303,5.10371E+12,3961.273893,45.62396442,..,42.02703661,9.539304675,12.66812637,2.376851533,6.125394863,-3.126576056,-0.042762267,-0.001106436,2007,64.24,13.63634486
