,EPI,FSI,country,fragile,fragile
46,78.64,18.7,Finland,0.312231241,0.312231241
60,78.57,22.5,Iceland,0.315669622,0.315669622
65,78.77,22.3,Ireland,0.320611371,0.320611371
102,77.49,20.5,Norway,0.324807096,0.324807096
129,87.42,21.1,Switzerland,0.325250992,0.325250992
98,75.96,22.6,New Zealand,0.327781209,0.327781209
26,72.18,22.6,Canada,0.327926619,0.327926619
38,81.6,21.5,Denmark,0.329220724,0.329220724
128,80.51,22.1,Sweden,0.329487607,0.329487607
6,74.12,22.3,Australia,0.331769437,0.331769437
79,79.12,23.4,Luxembourg,0.332876695,0.332876695
110,71.91,29,Portugal,0.348979987,0.348979987
97,75.46,27.4,Netherlands,0.354226944,0.354226944
7,78.97,27.7,Austria,0.359762935,0.359762935
119,64.23,32.5,Singapore,0.362041641,0.362041641
51,78.37,28.1,Germany,0.363849126,0.363849126
13,77.38,30.8,Belgium,0.36836668,0.36836668
120,67.57,32.4,Slovenia,0.372308933,0.372308933
122,62.3,38.1,South Korea,0.380783498,0.380783498
142,79.89,33.2,United Kingdom,0.382262396,0.382262396
47,83.95,33.5,France,0.387676338,0.387676338
144,64.65,36.8,Uruguay,0.389301273,0.389301273
143,71.19,35.6,United States,0.391727317,0.391727317
123,78.39,37.9,Spain,0.401015561,0.401015561
85,80.9,38.6,Malta,0.403904906,0.403904906
68,74.69,37.4,Japan,0.404004653,0.404004653
37,67.68,40.1,Czech Republic,0.410514097,0.410514097
29,57.49,41.1,Chile,0.411496618,0.411496618
87,56.63,41.7,Mauritius,0.41419508,0.41419508
78,69.33,41.7,Lithuania,0.415514862,0.415514862
109,64.11,40.8,Poland,0.417790272,0.417790272
141,58.9,43.7,United Arab Emirates,0.421932716,0.421932716
111,67.8,44,Qatar,0.42354481,0.42354481
32,67.85,44.1,Costa Rica,0.437080439,0.437080439
44,64.31,44.7,Estonia,0.442559265,0.442559265
74,66.12,46.4,Latvia,0.453618733,0.453618733
4,59.3,48.2,Argentina,0.456392056,0.456392056
66,76.96,45.2,Italy,0.458155972,0.458155972
11,55.76,49.6,Barbados,0.47825577,0.47825577
112,64.78,50.9,Romania,0.48432784,0.48432784
105,62.71,50.7,Panama,0.488953743,0.488953743
103,51.32,52.5,Oman,0.489276009,0.489276009
59,65.01,52,Hungary,0.501267678,0.501267678
34,65.45,50.6,Croatia,0.506153811,0.506153811
21,67.85,53.7,Bulgaria,0.520788789,0.520788789
91,61.33,55.7,Montenegro,0.531092609,0.531092609
72,62.28,58.5,Kuwait,0.541351757,0.541351757
90,57.51,56.7,Mongolia,0.542043776,0.542043776
135,67.36,56.7,Trinidad and Tobago,0.547765833,0.547765833
53,73.6,57.5,Greece,0.558504932,0.558504932
1,65.46,60.5,Albania,0.582211811,0.582211811
9,55.15,64.9,Bahrain,0.595587913,0.595587913
36,72.6,62.6,Cyprus,0.609056365,0.609056365
35,63.42,64.6,Cuba,0.626217949,0.626217949
83,59.22,65.4,Malaysia,0.626919316,0.626919316
70,54.56,65.9,Kazakhstan,0.632607603,0.632607603
14,57.79,65.5,Belize,0.673630829,0.673630829
80,61.06,66.1,Macedonia,0.674929753,0.674929753
67,58.58,65.2,Jamaica,0.682511757,0.682511757
126,54.2,65.9,Suriname,0.684011583,0.684011583
19,51.7,63.8,Botswana,0.702106087,0.702106087
115,57.47,71.2,Saudi Arabia,0.709704462,0.709704462
20,60.7,68.2,Brazil,0.714923507,0.714923507
12,64.98,72.4,Belarus,0.72123821,0.72123821
107,61.92,70.3,Peru,0.731196764,0.731196764
5,62.07,71,Armenia,0.735905531,0.735905531
40,64.71,69,Dominican Republic,0.736280465,0.736280465
106,53.93,71.6,Paraguay,0.754533403,0.754533403
89,51.97,72,Moldova,0.757531187,0.757531187
117,57.49,70,Serbia,0.762378194,0.762378194
140,52.87,74,Ukraine,0.762579749,0.762579749
138,66.1,74.4,Turkmenistan,0.768320351,0.768320351
136,62.35,74.2,Tunisia,0.788376679,0.788376679
30,50.74,74.7,China,0.805939831,0.805939831
88,59.69,74.3,Mexico,0.820535522,0.820535522
8,62.33,76.3,Azerbaijan,0.824407,0.824407
50,55.69,76.5,Georgia,0.827226673,0.827226673
