,EPI,FSI,country,fragile
0,37.5,107.9,Afghanistan2016,0.9590333788779573
1,74.38,61.2,Albania2016,0.20408884729998697
2,70.28,78.3,Algeria2016,0.45430404649611683
3,51.32,90.5,Angola2016,0.9671247057408459
4,62.55,56.2,Antigua and Barbuda2016,0.15770126616084135
5,79.84,48.4,Argentina2016,0.09740002020877876
6,81.6,69.6,Armenia2016,0.3360611891006789
7,87.22,22.5,Australia2016,0.04955417740922566
8,86.64,27.5,Austria2016,0.06493879904834315
9,83.78,76.3,Azerbaijan2016,0.446727939369055
10,70.07,63.4,Bahrain2016,0.32960185944455356
11,41.77,90.7,Bangladesh2016,0.9710850126372951
12,54.96,49.0,Barbados2016,0.6254032665161615
13,82.3,73.9,Belarus2016,0.3492681654397112
14,80.15,29.0,Belgium2016,0.05417956470086283
15,73.55,66.0,Belize2016,0.19861627885632324
16,43.66,78.9,Benin2016,0.7767303687202636
17,64.99,77.6,Bhutan2016,0.40869913299832855
18,71.09,78.5,Bolivia2016,0.3948471814022705
19,63.28,74.6,Bosnia and Herzegovina2016,0.38925695208490885
20,70.72,63.5,Botswana2016,0.1818172201831877
21,78.9,65.3,Brazil2016,0.21676245987608722
22,67.86,62.0,Brunei Darussalam2016,0.31746042562848814
23,83.4,53.7,Bulgaria2016,0.14097482814596105
24,43.71,89.4,Burkina Faso2016,0.8535184300149383
25,43.37,100.7,Burundi2016,0.9812171035940869
26,51.24,87.4,Cambodia2016,0.9226725086673478
27,57.13,97.8,Cameroon2016,1.1980896930004787
28,85.06,23.8,Canada2016,0.04870809328621956
29,51.98,71.5,Cape Verde2016,0.641917181168059
30,46.46,112.1,Central African Republic2016,1.0104787393660133
31,37.83,110.1,Chad2016,0.9740108272084855
32,77.67,41.9,Chile2016,0.0741511128473153
33,65.1,74.9,China2016,0.42010303427889545
34,75.93,80.2,Colombia2016,0.47189182281013564
35,49.2,83.8,Comoros2016,0.7962122118818004
36,80.03,45.1,Costa Rica2016,0.08167592183253151
37,59.89,97.9,Cote d'Ivoire2016,1.2765383974104083
38,86.98,52.4,Croatia2016,0.16509317160918138
39,79.04,66.3,Cuba2016,0.27635889582093515
40,80.24,64.0,Cyprus2016,0.19858207825566057
41,84.67,40.8,Czech Republic2016,0.10602668859783715
42,89.21,21.5,Denmark2016,0.04525831358119125
43,45.29,89.7,Djibouti2016,0.9452808433807433
44,75.32,70.8,Dominican Republic2016,0.2838078942011187
45,66.58,75.6,Ecuador2016,0.372704641800375
46,66.45,90.2,Egypt2016,0.726923884264675
47,68.07,72.5,El Salvador2016,0.3143484953090951
48,69.59,85.2,Equatorial Guinea2016,0.5557464196410593
49,36.73,98.6,Eritrea2016,0.9502343867429934
50,88.59,43.4,Estonia2016,0.09989443503961624
51,45.83,97.2,Ethiopia2016,0.9830269806809898
52,75.29,76.2,Fiji2016,0.38527003872202326
53,90.68,18.8,Finland2016,0.0360835622531383
54,88.2,34.5,France2016,0.07541589855319933
55,67.37,72.0,Gabon2016,0.3070980436194307
56,64.96,78.9,Georgia2016,0.465852307161613
57,84.26,28.6,Germany2016,0.06976729776903864
58,58.89,71.2,Ghana2016,0.2935172394219866
59,85.81,55.9,Greece2016,0.13852478586187372
60,63.28,63.0,Grenada2016,0.19404674442126885
61,69.64,83.2,Guatemala2016,0.5308078810242542
62,55.4,103.8,Guinea2016,2.258103780350882
63,71.14,70.9,Guyana2016,0.273461578148261
64,43.28,105.1,Haiti2016,0.9295666940240429
65,69.64,79.8,Honduras2016,0.4134100160914057
66,84.6,52.7,Hungary2016,0.17911538203030053
67,90.51,22.8,Iceland2016,0.031884588296534545
68,53.58,79.6,India2016,0.886042481889195
69,65.85,74.9,Indonesia2016,0.3825373675588597
70,66.32,86.9,Iran2016,0.6471015070042083
71,63.97,104.7,Iraq2016,1.440372918295427
72,86.6,22.5,Ireland2016,0.037085377944420024
73,84.48,43.1,Italy2016,0.10762204089066295
74,77.02,65.0,Jamaica2016,0.2021540128584186
75,80.59,35.1,Japan2016,0.0603903791561858
76,72.24,78.0,Jordan2016,0.4533032315452382
77,73.29,66.5,Kazakhstan2016,0.2909710602169258
78,62.49,98.3,Kenya2016,1.377520345282031
79,64.41,58.5,Kuwait2016,0.24403033719132758
80,73.13,81.1,Kyrgyz Republic2016,0.4955372305551391
81,50.29,84.4,Laos2016,0.9585212271258844
82,85.71,47.4,Latvia2016,0.12917560812906334
83,69.14,89.6,Lebanon2016,0.6915006440064048
84,47.17,80.9,Lesotho2016,0.7675460323250641
85,43.42,95.5,Liberia2016,0.9275004102806954
86,63.29,96.4,Libya2016,0.9359583833294104
87,85.49,42.4,Lithuania2016,0.08194449605257885
88,86.58,24.1,Luxembourg2016,0.05114588914581381
89,78.02,67.0,Macedonia2016,0.2899720723340799
90,37.1,84.2,Madagascar2016,0.8153836208365629
91,49.69,87.6,Malawi2016,0.8529839510640409
92,74.23,66.1,Malaysia2016,0.3142178941965873
93,57.1,74.0,Maldives2016,0.3596447408066623
94,41.48,95.2,Mali2016,0.8599381986121697
95,88.48,39.6,Malta2016,0.09224461573856052
