,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
0,Afghanistan2016,107.9,37.5,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9
1,Albania2016,61.2,74.38,4.4,6.2,4.7,5.5,3.8,7.6,5.9,4.2,5,4.2,3.3,6.4
2,Algeria2016,78.3,70.28,7.7,7.1,7.9,6.8,6.3,5.4,7.8,5.5,6.8,5.4,6.5,5.1
3,Angola2016,90.5,51.32,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9,7.3,5.6
4,Antigua and Barbuda2016,56.2,62.55,5.4,3.7,3.9,4.7,4.7,7,5.6,4,4.6,4.3,2.8,5.5
5,Argentina2016,48.4,79.84,4,2.8,4.7,5.5,5.1,2.7,5,4,3.8,4,2.5,4.3
6,Armenia2016,69.6,81.6,5,7,5.6,6.5,4.7,5.9,7.2,3.8,7,3.3,6.7,6.9
7,Australia2016,22.5,87.22,1.8,1.7,4.1,1.8,2.4,1,1,1.7,2.5,1.5,2,1
8,Austria2016,27.5,86.64,1.2,2.7,4,1.9,3.1,1.2,1.1,1.3,1.4,2.1,6.1,1.4
9,Azerbaijan2016,76.3,83.78,6.4,7.9,6.7,3.8,5.6,4,8.9,5.1,8.6,4.8,7.9,6.6
10,Bahrain2016,63.4,70.07,6.4,7.1,7.9,3.5,4.8,3.2,8.4,2,8.3,4.3,2.5,5
11,Bangladesh2016,90.7,41.77,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6
12,Barbados2016,49,54.96,4.4,4.2,4.1,6,4.8,5.1,2.7,2.7,2.6,4.1,2.6,5.7
13,Belarus2016,73.9,82.3,6.3,8.3,7.1,6.2,4.9,3.1,8.9,4.4,8.1,5.3,3.8,7.5
14,Belgium2016,29,80.15,1.9,3.9,4.4,4.4,2.9,1.6,1.6,1.8,1,2.2,2.1,1.2
15,Belize2016,66,73.55,6.1,4.3,4.1,6.4,5.9,6.7,5.4,6.1,4.4,5.6,3.8,7.2
16,Benin2016,78.9,43.66,5.9,7,3.6,6.3,7.8,7.1,5.9,8.9,5.4,8.5,5.7,6.8
17,Bhutan2016,77.6,64.99,4.7,7.5,7.6,5.2,6.6,7.2,4.5,6.3,6.3,6.3,7.2,8.2
18,Bolivia2016,78.5,71.09,6.7,8.3,6.2,5.1,8.8,6.7,7,7,6.2,6.4,4.1,6
19,Bosnia and Herzegovina2016,74.6,63.28,5.9,8.7,7,5.7,5.3,5.2,6.7,3.8,6.1,4,7.8,8.4
20,Botswana2016,63.5,70.72,3.8,3.3,5.1,6,8,5.2,3.5,7,4.7,7.9,4.7,4.3
21,Brazil2016,65.3,78.9,6.4,4.9,5.7,4.5,8,4.3,5.9,6,6.1,7.6,2.9,3
22,Brunei Darussalam2016,62,67.86,5.3,7.4,5.9,3,7.8,4.3,8.3,2,7.9,3.9,2.4,3.8
23,Bulgaria2016,53.7,83.4,3.8,5.3,5.3,5.9,4.6,4.3,4.7,3.9,3.5,3.9,4,4.5
24,Burkina Faso2016,89.4,43.71,8.1,8.1,4.7,6.5,8.4,7.2,7.3,8.9,6.3,9.4,6.8,7.7
25,Burundi2016,100.7,43.37,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7
26,Cambodia2016,87.4,51.24,6.4,8.3,7.1,5.9,6.8,7.8,8.5,8,7.9,7.2,5.9,7.6
27,Cameroon2016,97.8,57.13,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8
28,Canada2016,23.8,85.06,1.9,2.5,3.6,1.9,2.7,1.9,1,1.7,1.5,2.1,2,1
29,Cape Verde2016,71.5,51.98,5.4,5.5,4.1,5.7,7.3,8.2,5.5,6.2,4.2,7.2,4.4,7.8
30,Central African Republic2016,112.1,46.46,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5
31,Chad2016,110.1,37.83,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5
32,Chile2016,41.9,77.67,2.9,2.2,3.8,3.3,5.4,3.5,3.5,4.2,3.2,5.4,2.2,2.3
33,China2016,74.9,65.1,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9
34,Colombia2016,80.2,75.93,7,7.6,7,3.9,7.8,6.3,6.5,6.1,7.2,6.7,7.9,6.2
35,Comoros2016,83.8,49.2,6.9,7.5,5,8.2,7.2,7.6,6.8,8.4,6.5,7.5,4.7,7.5
36,Costa Rica2016,45.1,80.03,3.3,3.8,4.4,4.2,5.5,3.8,2.6,4.1,1.7,3.8,3.6,4.3
37,Cote d'Ivoire2016,97.9,59.89,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4
38,Croatia2016,52.4,86.98,3.7,4.4,6,5.5,3.5,4.2,3.1,2.6,3.8,3.3,7.5,4.8
39,Cuba2016,66.3,79.04,5.4,7,4.2,4.2,5.6,5.4,7.3,4.3,7.7,5.7,4.2,5.3
40,Cyprus2016,64,80.24,4.1,7.9,6.5,6.4,6.1,4.2,5,2.7,3.2,3.7,5,9.2
41,Czech Republic2016,40.8,84.67,2.3,5,5,4.3,2.9,2.5,4.9,2.8,2.6,1.6,4,2.9
42,Denmark2016,21.5,89.21,1.4,1.4,4.6,2.2,1.8,1.6,0.6,1.1,1.7,2.2,1.8,1.1
43,Djibouti2016,89.7,45.29,6.6,7.3,6.7,7.1,8.1,5.5,7.9,8.1,7.5,8.5,7.5,8.9
44,Dominican Republic2016,70.8,75.32,5.5,6.2,6,5.2,6,7.3,5.7,6.8,6,7,3.5,5.6
45,Ecuador2016,75.6,66.58,6.5,8.2,7.5,5.5,6.9,5.9,6.7,6,5.2,6,5.4,5.8
46,Egypt2016,90.2,66.45,8.3,8.8,9,8.4,6.2,4.4,8.4,5.1,9.7,6.8,7,8.1
47,El Salvador2016,72.5,68.07,7,4.3,6.2,5.6,6.6,7.5,5,6.6,6.5,6.6,5,5.6
48,Equatorial Guinea2016,85.2,69.59,6.7,8.2,6.3,6.2,8.9,5.7,9.9,7.4,9.4,7.7,3.6,5.2
49,Eritrea2016,98.6,36.73,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9
50,Estonia2016,43.4,88.59,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4
51,Ethiopia2016,97.2,45.83,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2
52,Fiji2016,76.2,75.29,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4
53,Finland2016,18.8,90.68,1.4,1.1,2,3.7,1.2,2,0.6,1,1,1.3,2.5,1
54,France2016,34.5,88.2,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2
55,Gabon2016,72,67.37,4.7,7.1,4,5,6.7,5.8,7.7,6.9,7.2,6.8,4.7,5.4
56,Georgia2016,78.9,64.96,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6
57,Germany2016,28.6,84.26,1.8,2.3,4.8,2.4,3,1.8,1,1.3,1.3,2.2,5.7,1
58,Ghana2016,71.2,58.89,3.8,4.9,4.6,6.6,6.8,7.9,4.7,7.4,5.3,7.1,5.2,6.9
59,Greece2016,55.9,85.81,4.2,3.8,5.1,7,3.9,3.5,6.2,4,3.2,3.9,5,6.1
60,Grenada2016,63,63.28,5.9,5.6,3.8,6.2,5,8.6,5.6,4,3.4,4.9,3.2,6.8
61,Guatemala2016,83.2,69.64,7.3,6.8,8.2,5.7,8.3,7,6.7,7.7,6.9,7.4,5.8,5.4
62,Guinea2016,103.8,55.4,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6
63,Guyana2016,70.9,71.14,6.1,5.1,6.4,6.1,5.9,9.4,5.6,6.4,3.6,5.5,3.8,7
64,Haiti2016,105.1,43.28,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9
65,Honduras2016,79.8,69.64,7,6.8,6.1,6.6,7.9,6.6,7,7,6.6,6.5,4,7.7
66,Hungary2016,52.7,84.6,2.4,5.3,5,5.6,4,3,6.3,3.4,4.9,2,6.7,4.1
67,Iceland2016,22.8,90.51,1.2,1.8,1.3,3.5,1.3,2.5,1,1.4,1,1.8,1.7,4.3
68,India2016,79.6,53.58,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6
69,Indonesia2016,74.9,65.85,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4
70,Iran2016,86.9,66.32,7.7,9.6,8.8,6.6,5.8,6.5,9.2,4.7,9.5,5.1,6.7,6.7
71,Iraq2016,104.7,63.97,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7
72,Ireland2016,22.5,86.6,1.8,1.5,1.6,3.6,2.4,2.5,1.2,1.6,1.1,1.9,1.7,1.6
73,Italy2016,43.1,84.48,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5
74,Jamaica2016,65,77.02,6.6,3.7,3.6,7.1,5.6,8.1,5,6.1,5.2,4.9,3.1,6
75,Japan2016,35.1,80.59,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4
76,Jordan2016,78,72.24,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3
