Rank,Country,EPI.2017,EPI.2016,EPI.2015,EPI.2014,EPI.2013,EPI.2012,EPI.2011,EPI.2010,EPI.2009,EPI.2008,EPI.2007
176,Afghanistan,37.74,37.5,39.53,39.7,37.98,37.95,37.33,37.29,34.38,34.19,34.17
61,Albania,65.46,74.38,73.14,72.36,69.85,70.01,69.42,70.71,66.12,66.58,65.57
83,Algeria,57.18,70.28,71.94,72.09,71.26,71.5,71.35,71.46,71.15,71.14,70.81
145,Angola,37.44,51.32,50.83,50.92,48.8,49.25,49.06,49.3,49.01,48.98,49.08
122,Antigua and Barbuda,59.18,62.55,64.75,65.81,66.02,66.33,66.4,66.44,67.2,67.04,66.4
43,Argentina,59.3,79.84,79.8,79.94,79.52,79.58,79.61,79.49,79.52,79.53,79.63
37,Armenia,62.07,81.6,81.24,81.52,77.93,79.45,77.97,79.17,77.78,78.12,77.29
13,Australia,74.12,87.22,87.58,87.71,87.55,87.84,87.7,87.57,87.19,87.33,87.22
18,Austria,78.97,86.64,85.68,85.46,84.7,85.7,84.99,85.09,82.53,82.37,82.61
31,Azerbaijan,62.33,83.78,83.68,83.08,81.83,82.15,81.87,81.85,79.9,79.74,79.57
86,Bahrain,54.99,70.07,70.86,69.82,68.52,68.38,68.27,69.12,69.11,69.37,69.32
173,Bangladesh,55.15,41.77,43.66,43.79,42.03,42.26,42.05,42.19,41.91,41.99,42.11
140,Barbados,29.56,54.96,56.95,56.9,54.48,53.91,54.05,53.74,54.08,56.2,54.94
35,Belarus,55.76,82.3,81.9,80.53,79.77,79.68,80.74,79.55,77.94,78.11,79.2
41,Belgium,64.98,80.15,79.56,78.97,78.5,78.89,78.64,78.47,78.24,78.33,78.11
68,Belize,77.38,73.55,74.67,74.16,74.8,73.92,73.49,73.2,73.44,73.6,73.91
166,Benin,57.79,43.66,43.83,43.72,40.7,41.53,41.32,41.26,39.79,39.39,39.41
110,Bhutan,38.17,64.99,64.26,63.98,63.1,61.84,61.58,63.13,63.76,63.37,63.42
76,Bolivia,47.22,71.09,71.33,70.78,70.4,70.72,70.58,70.22,69.32,69.16,69.53
120,Bosnia and Herzegovina,55.98,63.28,61.44,60.82,59.79,60.67,61.32,60.87,56.86,56.41,56.49
79,Botswana,41.84,70.72,70.84,70.77,69.54,69.74,69.67,70.06,68.97,68.58,67.67
46,Brazil,51.7,78.9,80.11,79.87,79.28,79.29,79.05,79.04,79.56,79.63,79.44
98,Brunei Darussalam,60.7,67.86,63.85,65.53,65.56,65.77,65.04,65.45,65.38,65.22,65.43
33,Bulgaria,63.57,83.4,82.52,80.77,80.34,80.94,80.62,79.75,72.7,72.99,73.16
165,Burkina Faso,67.85,43.71,43.76,43.71,42.08,42.46,42.38,42.1,40.73,40.45,40.3
168,Burundi,42.83,43.37,42.76,42.37,40.7,41.61,41.59,41.9,40.49,40.74,40.69
146,Cambodia,27.43,51.24,51.42,51.24,49.59,50.16,49.65,49.43,47.69,47.2,47.03
136,Cameroon,56.94,57.13,57.33,57.15,54.49,54.77,52.28,52.15,49.89,49.64,49.42
25,Canada,43.23,85.06,85.06,84.6,84.56,84.61,84.34,83.95,83.16,82.71,82.57
143,Cape Verde,40.81,51.98,51.75,51.14,50.65,51.37,52.17,52.25,51.12,51.44,51.52
159,Central African Republic,72.18,46.46,46.69,46.54,44.43,44.48,43.84,44.06,45.47,45.34,45.22
175,Chad,36.42,37.83,37.86,37.81,35.89,36.72,36.58,36.53,36.04,35.89,35.74
52,Chile,45.34,77.67,78.6,78.43,78.33,79.23,78.71,78.88,78.01,77.92,78.26
109,China,57.49,65.1,66.26,66.17,65.21,65.44,65.25,65.28,64.15,64.2,64.24
57,Colombia,50.74,75.93,77.81,77.86,77.14,77.11,76.7,77.29,78.64,78.45,78.2
152,Comoros,65.22,49.2,48.73,48.77,46.11,46.44,46.46,46.8,46.04,46.05,40.42
128,Congo,44.24,59.56,59.68,59.83,56.91,57.1,56.9,56.37,55.66,53.05,52.75
42,Costa Rica,67.85,80.03,80.98,81.07,80.4,80.85,80.81,80.92,76.39,76.55,76.13
127,Cote d'Ivoire,65.45,59.89,59.89,59.79,58.37,58.46,58.48,58.43,58.38,58.53,58.77
15,Croatia,63.42,86.98,85.21,82.92,81.72,83.31,82.94,82.29,80.64,79.96,80.01
45,Cuba,72.6,79.04,78.81,78.68,77.55,78.17,78.01,79.45,78.87,78.83,78.61
40,Cyprus,67.68,80.24,79.57,79.78,79.04,79.65,79.4,79.18,78.01,77.59,77.66
27,Czech Republic,45.25,84.67,83.78,83.49,83.8,84.37,84.53,84.38,82.19,82.24,82.11
171,Dem. Rep. Congo,30.41,42.05,41.67,42.11,40.74,41.3,40.85,41.11,38.55,38.13,38.28
4,Denmark,81.6,89.21,88.78,88.29,87.57,88.92,88.99,88.73,87.18,87.86,87.98
164,Djibouti,40.04,45.29,44.27,40.25,38.85,39.27,39.07,39.65,40.45,40.83,40.82
70,Dominica,59.38,73.25,72.56,72.54,71.4,71.18,71.28,71.51,66.77,66.7,66.21
58,Dominican Republic,64.71,75.32,76.8,76.69,75.65,75.79,75.69,76.07,76.01,76.06,76.1
103,Ecuador,57.42,66.58,68.23,68.47,68.39,68.37,67.92,68,68.08,67.58,67.7
104,Egypt,61.21,66.45,66.04,65.98,65.69,66.65,66.06,64.93,64.19,63.8,63.85
97,El Salvador,53.91,68.07,69.39,69.71,70.15,69.71,69.13,68.62,68.51,67.06,66.59
90,Equatorial Guinea,60.4,69.59,70.17,70.47,69.38,69.34,69.06,68.95,64.11,64.04,64.31
179,Eritrea,39.34,36.73,36.08,35.07,33.26,34.78,33.62,34.36,34.39,34.73,35.12
8,Estonia,64.31,88.59,88.24,88.27,87.9,88.16,87.85,86.72,86.5,86.6,87.09
163,Ethiopia,44.78,45.83,45.86,45.71,42.08,41.81,41.34,41.48,41.4,41.16,41.18
59,Fiji,53.09,75.29,74.85,74.66,73.85,74.26,73.52,73.66,68.56,68.97,68.79
1,Finland,78.64,90.68,90.74,90.72,90.59,90.73,90.52,90.37,90.47,90.76,90.86
10,France,83.95,88.2,87.87,87.65,86.7,87,86.61,86.13,85.4,85.11,85.25
100,Gabon,45.05,67.37,67.57,68.05,66.93,67,67.09,67.28,65.85,65.06,65.03
111,Georgia,42.42,64.96,64.05,64.16,61.43,62.27,61.85,62.35,61.45,61.01,60.68
30,Germany,55.69,84.26,83.67,84.11,83.1,84.7,84.47,84.12,80.91,81.73,81.35
130,Ghana,78.37,58.89,58.75,58.75,56.62,56.97,57.21,57.37,55.05,54.66,55.17
21,Greece,49.66,85.81,84.81,84.55,83.34,83.88,83.12,82.58,81.52,81.66,81.46
120,Grenada,73.6,63.28,62.42,62.46,60.84,60.81,61.21,61.6,57.46,57.9,57.7
88,Guatemala,50.93,69.64,69.56,70.04,68.8,68.87,68.49,68.76,68.03,68.36,67.88
139,Guinea,52.33,55.4,55.32,55.16,52.8,52.77,52.54,52.45,49.34,49.04,49.12
155,Guinea-Bissau,46.62,48.2,48.21,48.22,46.7,46.88,46.59,46.16,45.91,45.63,45.56
75,Guyana,44.67,71.14,70.54,70.62,70.24,69.77,68.89,69.08,69.85,68.33,68.2
169,Haiti,47.93,43.28,42.93,43.39,41.08,41.26,40.98,41.12,40.53,40.38,40.16
88,Honduras,33.74,69.64,69.76,69.53,68.05,68.23,67.9,68.46,68.68,68.43,67.2
28,Hungary,51.51,84.6,82.33,82.12,80.52,81.55,81.07,80.86,79.64,79.61,79.61
2,Iceland,65.01,90.51,90.48,90.32,90.06,89.57,90.17,89.93,88.14,89.09,89.16
141,India,78.57,53.58,55.08,55,53.74,53.98,53.75,53.84,53.91,53.9,53.86
107,Indonesia,30.57,65.85,65.9,65.61,64.45,64.42,63.9,63.86,62.79,62.37,62.58
105,Iran,46.92,66.32,64.84,64.82,63.85,64.22,63.9,64.04,64,64.72,64.67
116,Iraq,58.16,63.97,62.26,61.54,60.26,60.7,60.56,62.07,63.02,61.67,62.97
19,Ireland,43.2,86.6,87.51,87.9,87.83,87.89,87.85,87.88,87.69,87.26,86.85
49,Israel,78.77,78.14,78.36,78.24,78.13,78.48,78.41,78.36,78.11,77.93,77.97
29,Italy,75.01,84.48,83.48,84.63,83.46,83.99,83.62,83.38,82.03,81.87,81.76
54,Jamaica,76.96,77.02,77.11,77.09,77.01,76.88,76.18,76.46,76.3,76.21,76.16
