,country,FSI,EPI,DP,EI,Economy,FE,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL
0,Afghanistan,107.3,37.74,9.3,9.7,8.3,8.6,60.28705023,1739.583177,8.4,8.2,8.5,652860,9.9,34.656032,53.08340532,2.689163473,9.8,10,46.8,9.1
1,Afghanistan,107.3,37.74,9.3,9.7,8.3,8.6,60.28705023,1739.583177,8.4,8.2,8.5,652860,9.9,34.656032,53.08340532,2.689163473,9.8,10,46.8,9.1
2,Albania,60.5,65.46,3.7,6.7,5.4,6.2,32.66991645,11359.09916,4.5,7.6,4.8,27400,4,2.876101,104.9671898,-0.159880412,3.6,4.7,68.9,5.7
3,Algeria,76.8,57.18,5.2,4.9,6.6,7.1,565.284,13921.17608,7.1,5.8,6.6,2381741,6,40.606052,17.04889491,1.825463432,6.8,7.2,68.8,6.9
4,Angola,91.1,37.44,9.5,5.4,6.4,7.2,172.438,5984.632947,7.5,6.6,7.3,1246700,9.1,28.813463,23.11178551,3.367572131,7.1,6.5,50.2,8.6
5,Argentina,48.2,59.3,3.8,4.6,4.3,2.8,810.714,18489.43028,5,3,4.1,2736690,3.8,43.84743,16.0220668,0.984741906,2.3,4.3,72.5,4.8
6,Armenia,71,62.07,3.1,6.7,6.3,7.4,23.95494292,8190.239289,6.1,6.2,7,28470,3.6,2.924816,102.7332631,0.269302288,7,5.5,71.7,7.6
7,Australia,22.3,74.12,1.3,1,1.7,1.7,1071.58,44413.84914,3.9,1.3,2.3,7682300,1.5,24.127159,3.140616612,1.410063834,2.3,2.1,75.9,1
8,Austria,27.7,78.97,1.9,1.2,2.2,3.2,388.015,44357.965,4.5,1.5,1.2,82523,1.1,8.747358,105.9990306,1.314006681,5.6,1,81.4,1.4
9,Azerbaijan,76.3,62.33,4.6,6.4,4.1,7.9,156.138,15994.01943,6.5,4.3,8.5,82663,5.4,9.762274,118.0972624,1.163574223,7.7,6.2,70.8,8.8
10,Bahrain,64.9,55.15,4.1,4.8,3.8,7.6,64.33731963,45143.579,8.4,3.5,8.8,771,1.8,1.425171,1848.470817,3.812796793,2.4,6.9,64.6,8.2
11,Bangladesh,89.1,29.56,7.5,5.8,5.8,9.3,540.894,3319.354537,8.7,7.8,7.4,130170,8.1,162.95156,1251.836521,1.080165239,6.6,7.6,56.2,7.8
12,Barbados,49.6,55.76,4.4,6,5.9,4.2,4.773832887,16750.52593,4.1,5.4,2.9,430,2.7,0.284996,662.7813953,0.273711418,2.5,4.4,66,2.5
13,Belarus,72.4,64.98,5.1,7.3,6,8.3,159.171,16742.2942,7.1,3.4,7.9,202910,4.2,9.50712,46.8538761,0.184284342,3.6,6.1,77.1,8.7
14,Belgium,30.8,77.38,2,1,4.2,4.4,477.288,42058.62819,4.9,1.6,1.5,30280,2.3,11.348159,374.7740753,0.653895349,2.4,2.4,80,1.4
15,Belize,65.5,57.79,5.1,7.5,6.7,4.3,2.879126894,7846.015833,4.1,6.6,4.7,22810,5.9,0.366954,16.0874178,2.111220431,3.6,6.4,66,5.2
16,Benin,77.6,38.17,8.3,6.6,6.6,6.7,21.85289913,2009.961384,3.4,7.4,5.2,112760,8.7,10.872298,96.41981199,2.763534181,5.5,6.2,49.5,5.4
17,Bhutan,76,47.22,6.1,8,4.7,7.5,6.584188915,8253.293783,7.9,7.2,6.6,38117,6.1,0.797765,20.92937534,1.309546955,7,4.5,65.5,4.3
18,Bolivia,76.8,55.98,6.3,5.8,5.4,8,73.03543539,6707.956184,6,7,6,1083300,6.8,10.887882,10.05066187,1.510046906,3.9,6.5,64.7,6.5
19,Bosnia and Herzegovina,73,41.84,3.8,8.2,5.7,8.7,39.8364244,11327.41218,7,5.5,5.6,51200,3.6,3.516816,68.6878125,-0.54290805,7.6,5.7,65.5,6.5
20,Botswana,63.8,51.7,8.2,4.1,5.8,3.3,35.38137144,15723.23707,4.9,5.5,5,566730,7.3,2.25026,3.970603286,1.841666401,4.5,4.1,58.3,3.3
21,Brazil,68.2,60.7,8.1,3.3,4.8,4.9,2912.06,14023.69286,6.2,4.6,6.4,8358140,6.4,207.652865,24.84438703,0.817555711,2.8,6.7,69.5,6.2
22,Bulgaria,53.7,67.85,3.7,4.3,5.7,5.3,126.835,17794.3557,5.1,4.2,3.3,108560,4.4,7.127822,65.65790346,-0.701382098,4.5,4.3,72.5,4.5
23,Burkina Faso,88,42.83,9.3,7.5,6.3,7.8,30.62090813,1642.185834,4.5,7.5,6.1,273600,8.7,18.646433,68.1521674,2.915614034,6.6,8.4,49.9,7.1
24,Burundi,98.9,27.43,9.3,9,8,8.2,7.589746511,721.1765615,7.9,6.3,8.8,25680,8,10.524117,409.8176402,3.135333146,8.6,8.8,51.8,8.8
25,Cambodia,85.7,43.23,7,7.4,5.7,8.3,54.61859125,3465.125565,6.9,7.6,7.7,176520,7.8,15.76237,89.29509404,1.564833471,5.7,6.7,58.2,8.3
26,Cameroon,95.6,40.81,8.1,7.8,6.6,9.1,78.44669479,3346.817793,8.3,7.6,7.5,472710,8.7,23.439189,49.58471156,2.613585149,8,7.9,52.8,8.4
27,Canada,22.6,72.18,1.9,1,1.8,2.5,1563.5,43087.73873,3.4,1.7,1.3,9093510,1.5,36.286425,3.990365107,1.213891076,1.8,2.2,78,1
28,Central African Republic,112.6,36.42,9,9.8,9.1,9.7,2.976765097,647.8804448,9.1,7.5,9.7,622980,10,4.594621,7.375230344,1.06165489,10,9,36.7,9.7
29,Chad,109.4,45.34,10,8.3,8.5,9.8,26.67816128,1845.914679,8,8.8,9.1,1259200,9.7,14.452543,11.47755956,3.114092441,9.6,9.4,41.5,9.1
