,EPI,country
0,37.5,Afghanistan2016
1,74.38,Albania2016
2,70.28,Algeria2016
3,51.32,Angola2016
4,62.55,Antigua and Barbuda2016
5,79.84,Argentina2016
6,81.6,Armenia2016
7,87.22,Australia2016
8,86.64,Austria2016
9,83.78,Azerbaijan2016
10,70.07,Bahrain2016
11,41.77,Bangladesh2016
12,54.96,Barbados2016
13,82.3,Belarus2016
14,80.15,Belgium2016
15,73.55,Belize2016
16,43.66,Benin2016
17,64.99,Bhutan2016
18,71.09,Bolivia2016
19,63.28,Bosnia and Herzegovina2016
20,70.72,Botswana2016
21,78.9,Brazil2016
22,67.86,Brunei Darussalam2016
23,83.4,Bulgaria2016
24,43.71,Burkina Faso2016
25,43.37,Burundi2016
26,51.24,Cambodia2016
27,57.13,Cameroon2016
28,85.06,Canada2016
29,51.98,Cape Verde2016
30,46.46,Central African Republic2016
31,37.83,Chad2016
32,77.67,Chile2016
33,65.1,China2016
34,75.93,Colombia2016
35,49.2,Comoros2016
36,80.03,Costa Rica2016
37,59.89,Cote d'Ivoire2016
38,86.98,Croatia2016
39,79.04,Cuba2016
40,80.24,Cyprus2016
41,84.67,Czech Republic2016
42,89.21,Denmark2016
43,45.29,Djibouti2016
44,75.32,Dominican Republic2016
45,66.58,Ecuador2016
46,66.45,Egypt2016
47,68.07,El Salvador2016
48,69.59,Equatorial Guinea2016
49,36.73,Eritrea2016
50,88.59,Estonia2016
51,45.83,Ethiopia2016
52,75.29,Fiji2016
53,90.68,Finland2016
54,88.2,France2016
55,67.37,Gabon2016
56,64.96,Georgia2016
57,84.26,Germany2016
58,58.89,Ghana2016
59,85.81,Greece2016
60,63.28,Grenada2016
61,69.64,Guatemala2016
62,55.4,Guinea2016
63,71.14,Guyana2016
64,43.28,Haiti2016
65,69.64,Honduras2016
66,84.6,Hungary2016
67,90.51,Iceland2016
68,53.58,India2016
69,65.85,Indonesia2016
70,66.32,Iran2016
71,63.97,Iraq2016
72,86.6,Ireland2016
73,84.48,Italy2016
74,77.02,Jamaica2016
75,80.59,Japan2016
76,72.24,Jordan2016
77,73.29,Kazakhstan2016
78,62.49,Kenya2016
79,64.41,Kuwait2016
80,73.13,Kyrgyz Republic2016
81,50.29,Laos2016
82,85.71,Latvia2016
83,69.14,Lebanon2016
84,47.17,Lesotho2016
85,43.42,Liberia2016
86,63.29,Libya2016
87,85.49,Lithuania2016
88,86.58,Luxembourg2016
89,78.02,Macedonia2016
90,37.1,Madagascar2016
91,49.69,Malawi2016
92,74.23,Malaysia2016
93,57.1,Maldives2016
94,41.48,Mali2016
95,88.48,Malta2016
96,46.31,Mauritania2016
97,70.85,Mauritius2016
98,73.59,Mexico2016
99,76.69,Moldova2016
100,64.39,Mongolia2016
101,78.89,Montenegro2016
102,74.18,Morocco2016
103,41.82,Mozambique2016
104,48.98,Myanmar2016
105,70.84,Namibia2016
106,50.21,Nepal2016
107,82.03,Netherlands2016
108,88.0,New Zealand2016
109,64.19,Nicaragua2016
110,37.48,Niger2016
111,58.27,Nigeria2016
112,86.9,Norway2016
113,60.13,Oman2016
114,51.42,Pakistan2016
115,78.0,Panama2016
116,48.02,Papua New Guinea2016
117,70.36,Paraguay2016
118,72.95,Peru2016
119,73.7,Philippines2016
120,81.26,Poland2016
121,88.63,Portugal2016
122,69.94,Qatar2016
123,83.24,Romania2016
124,83.52,Russia2016
125,50.34,Rwanda2016
126,70.2,Samoa2016
127,48.28,Sao Tome and Principe2016
128,68.63,Saudi Arabia2016
129,63.73,Senegal2016
130,78.67,Serbia2016
131,64.92,Seychelles2016
132,45.98,Sierra Leone2016
133,87.04,Singapore2016
134,88.98,Slovenia2016
135,46.92,Solomon Islands2016
136,27.66,Somalia2016
137,70.52,South Africa2016
138,70.61,South Korea2016
139,88.91,Spain2016
140,65.55,Sri Lanka2016
141,42.25,Sudan2016
142,68.58,Suriname2016
143,60.63,Swaziland2016
144,90.43,Sweden2016
145,86.93,Switzerland2016
146,66.91,Syria2016
147,73.05,Tajikistan2016
148,58.34,Tanzania2016
149,69.54,Thailand2016
150,55.79,Timor-Leste2016
151,46.1,Togo2016
152,74.34,Trinidad and Tobago2016
153,77.28,Tunisia2016
154,67.68,Turkey2016
155,70.24,Turkmenistan2016
156,57.56,Uganda2016
157,79.69,Ukraine2016
158,69.35,United Arab Emirates2016
159,87.38,United Kingdom2016
160,73.98,Uruguay2016
161,63.67,Uzbekistan2016
162,76.23,Venezuela2016
163,49.79,Yemen2016
164,66.06,Zambia2016
165,59.25,Zimbabwe2016
166,39.53,Afghanistan2015
167,73.14,Albania2015
168,71.94,Algeria2015
169,50.83,Angola2015
170,64.75,Antigua and Barbuda2015
171,79.8,Argentina2015
172,81.24,Armenia2015
173,87.58,Australia2015
174,85.68,Austria2015
175,83.68,Azerbaijan2015
176,70.86,Bahrain2015
177,43.66,Bangladesh2015
178,56.95,Barbados2015
179,81.9,Belarus2015
180,79.56,Belgium2015
181,74.67,Belize2015
182,43.83,Benin2015
183,64.26,Bhutan2015
184,71.33,Bolivia2015
185,61.44,Bosnia and Herzegovina2015
186,70.84,Botswana2015
187,80.11,Brazil2015
188,63.85,Brunei Darussalam2015
189,82.52,Bulgaria2015
190,43.76,Burkina Faso2015
191,42.76,Burundi2015
192,51.42,Cambodia2015
193,57.33,Cameroon2015
194,85.06,Canada2015
195,51.75,Cape Verde2015
196,46.69,Central African Republic2015
197,37.86,Chad2015
198,78.6,Chile2015
199,66.26,China2015
200,77.81,Colombia2015
201,48.73,Comoros2015
202,80.98,Costa Rica2015
203,59.89,Cote d'Ivoire2015
204,85.21,Croatia2015
205,78.81,Cuba2015
206,79.57,Cyprus2015
207,83.78,Czech Republic2015
208,88.78,Denmark2015
209,44.27,Djibouti2015
210,76.8,Dominican Republic2015
211,68.23,Ecuador2015
212,66.04,Egypt2015
213,69.39,El Salvador2015
214,70.17,Equatorial Guinea2015
215,36.08,Eritrea2015
216,88.24,Estonia2015
217,45.86,Ethiopia2015
218,74.85,Fiji2015
219,90.74,Finland2015
220,87.87,France2015
221,67.57,Gabon2015
222,64.05,Georgia2015
223,83.67,Germany2015
224,58.75,Ghana2015
225,84.81,Greece2015
226,62.42,Grenada2015
227,69.56,Guatemala2015
228,55.32,Guinea2015
229,70.54,Guyana2015
230,42.93,Haiti2015
231,69.76,Honduras2015
232,82.33,Hungary2015
233,90.48,Iceland2015
234,55.08,India2015
235,65.9,Indonesia2015
236,64.84,Iran2015
237,62.26,Iraq2015
238,87.51,Ireland2015
239,83.48,Italy2015
