,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
0,10.0,8.6,8.6,8.5,7.5,8.4,107.9,9.1,9.6,8.7,9.5,9.5,9.9,Afghanistan2016
1,4.4,6.2,4.7,5.5,3.8,7.6,61.2,5.9,4.2,5.0,4.2,3.3,6.4,Albania2016
2,7.7,7.1,7.9,6.8,6.3,5.4,78.3,7.8,5.5,6.8,5.4,6.5,5.1,Algeria2016
3,6.2,7.2,7.7,6.1,9.6,6.3,90.5,8.8,9.2,7.5,9.0,7.3,5.6,Angola2016
4,5.4,3.7,3.9,4.7,4.7,7.0,56.2,5.6,4.0,4.6,4.3,2.8,5.5,Antigua and Barbuda2016
5,4.0,2.8,4.7,5.5,5.1,2.7,48.4,5.0,4.0,3.8,4.0,2.5,4.3,Argentina2016
6,5.0,7.0,5.6,6.5,4.7,5.9,69.6,7.2,3.8,7.0,3.3,6.7,6.9,Armenia2016
7,1.8,1.7,4.1,1.8,2.4,1.0,22.5,1.0,1.7,2.5,1.5,2.0,1.0,Australia2016
8,1.2,2.7,4.0,1.9,3.1,1.2,27.5,1.1,1.3,1.4,2.1,6.1,1.4,Austria2016
9,6.4,7.9,6.7,3.8,5.6,4.0,76.3,8.9,5.1,8.6,4.8,7.9,6.6,Azerbaijan2016
10,6.4,7.1,7.9,3.5,4.8,3.2,63.4,8.4,2.0,8.3,4.3,2.5,5.0,Bahrain2016
11,7.8,9.6,8.9,6.3,6.9,7.5,90.7,8.0,7.8,7.6,8.0,6.3,6.0,Bangladesh2016
12,4.4,4.2,4.1,6.0,4.8,5.1,49.0,2.7,2.7,2.6,4.1,2.6,5.7,Barbados2016
13,6.3,8.3,7.1,6.2,4.9,3.1,73.9,8.9,4.4,8.1,5.3,3.8,7.5,Belarus2016
14,1.9,3.9,4.4,4.4,2.9,1.6,29.0,1.6,1.8,1.0,2.2,2.1,1.2,Belgium2016
15,6.1,4.3,4.1,6.4,5.9,6.7,66.0,5.4,6.1,4.4,5.6,3.8,7.2,Belize2016
16,5.9,7.0,3.6,6.3,7.8,7.1,78.9,5.9,8.9,5.4,8.5,5.7,6.8,Benin2016
17,4.7,7.5,7.6,5.2,6.6,7.2,77.6,4.5,6.3,6.3,6.3,7.2,8.2,Bhutan2016
18,6.7,8.3,6.2,5.1,8.8,6.7,78.5,7.0,7.0,6.2,6.4,4.1,6.0,Bolivia2016
19,5.9,8.7,7.0,5.7,5.3,5.2,74.6,6.7,3.8,6.1,4.0,7.8,8.4,Bosnia and Herzegovina2016
