,DP,EI,Economy,FE,FSI,GG,HFBD,HR,PS,RI,SA,SL,country
0,9.3,9.7,8.3,8.6,107.3,8.4,8.2,8.5,9.9,9.8,10.0,9.1,Afghanistan
1,3.7,6.7,5.4,6.2,60.5,4.5,7.6,4.8,4.0,3.6,4.7,5.7,Albania
2,5.2,4.9,6.6,7.1,76.8,7.1,5.8,6.6,6.0,6.8,7.2,6.9,Algeria
3,9.5,5.4,6.4,7.2,91.1,7.5,6.6,7.3,9.1,7.1,6.5,8.6,Angola
4,3.8,4.6,4.3,2.8,48.2,5.0,3.0,4.1,3.8,2.3,4.3,4.8,Argentina
5,3.1,6.7,6.3,7.4,71.0,6.1,6.2,7.0,3.6,7.0,5.5,7.6,Armenia
6,1.3,1.0,1.7,1.7,22.3,3.9,1.3,2.3,1.5,2.3,2.1,1.0,Australia
7,1.9,1.2,2.2,3.2,27.7,4.5,1.5,1.2,1.1,5.6,1.0,1.4,Austria
8,4.6,6.4,4.1,7.9,76.3,6.5,4.3,8.5,5.4,7.7,6.2,8.8,Azerbaijan
9,4.1,4.8,3.8,7.6,64.9,8.4,3.5,8.8,1.8,2.4,6.9,8.2,Bahrain
10,7.5,5.8,5.8,9.3,89.1,8.7,7.8,7.4,8.1,6.6,7.6,7.8,Bangladesh
11,4.4,6.0,5.9,4.2,49.6,4.1,5.4,2.9,2.7,2.5,4.4,2.5,Barbados
12,5.1,7.3,6.0,8.3,72.4,7.1,3.4,7.9,4.2,3.6,6.1,8.7,Belarus
13,2.0,1.0,4.2,4.4,30.8,4.9,1.6,1.5,2.3,2.4,2.4,1.4,Belgium
14,5.1,7.5,6.7,4.3,65.5,4.1,6.6,4.7,5.9,3.6,6.4,5.2,Belize
15,8.3,6.6,6.6,6.7,77.6,3.4,7.4,5.2,8.7,5.5,6.2,5.4,Benin
16,6.1,8.0,4.7,7.5,76.0,7.9,7.2,6.6,6.1,7.0,4.5,4.3,Bhutan
17,6.3,5.8,5.4,8.0,76.8,6.0,7.0,6.0,6.8,3.9,6.5,6.5,Bolivia
18,3.8,8.2,5.7,8.7,73.0,7.0,5.5,5.6,3.6,7.6,5.7,6.5,Bosnia and Herzegovina
19,8.2,4.1,5.8,3.3,63.8,4.9,5.5,5.0,7.3,4.5,4.1,3.3,Botswana
20,8.1,3.3,4.8,4.9,68.2,6.2,4.6,6.4,6.4,2.8,6.7,6.2,Brazil
21,3.7,4.3,5.7,5.3,53.7,5.1,4.2,3.3,4.4,4.5,4.3,4.5,Bulgaria
22,9.3,7.5,6.3,7.8,88.0,4.5,7.5,6.1,8.7,6.6,8.4,7.1,Burkina Faso
23,9.3,9.0,8.0,8.2,98.9,7.9,6.3,8.8,8.0,8.6,8.8,8.8,Burundi
